id;nombre_cientifico;categoria;grupo;clasificacion_FAO;cultivo;origen_et;origen;vulnerabilidad_et;vulnerabilidad;imp_economica_org;seg_alimentaria_org;incertidumbre;incertidumbre_et;imp_economica;pool_imp_economica;seg_alimentaria;pool_imp_sa;int_banco;int_banco_et
82;Casimiroa tetrameria;BGV List;Plantas aromaticas condimentarias y medicinales;Beverage and spice crops;Frutales menores;Close;45;MinorConcern;35;8;8;90;Alta;8;No;8;No;15;Bajo
84;Elettaria cardamomum;EVA's (MADR) List;Plantas aromaticas condimentarias y medicinales;Beverage and spice crops;NA;Distant;20;Threatened ;75;31.06;8;90;Alta;31.06;No;8;No;19.59;Bajo
85;Chenopodium quinoa;BGV List;Cereales;Cereals;Quinua;Local;70;MinorConcern;35;50.8;57.5;60;Media;50.8;No;57.5;No;69.12;Medio
86;Vaccinium corymbosum;EVA's (MADR) List;Frutales;Fruits and nuts;NA;Distant;20;MinorConcern;35;54.42;8;90;Alta;54.42;No;8;No;25.02;Bajo
87;Agaricus bisporus;EVA's (MADR) List;Hongos;Vegetables and melons;NA;Distant;20;NotEvaluated;0;33.74;57.5;30;Baja;33.74;No;57.5;No;29.12;Bajo
88;Chrysophyllum cainito;BGV List;Frutales;Fruits and nuts;Frutales menores;Close;45;Threatened;75;30;57.5;60;Media;30;No;57.5;No;69.12;Medio
90;Zingiber officinale;EVA's (MADR) List;Plantas aromaticas condimentarias y medicinales;Beverage and spice crops;NA;Distant;20;NotEvaluated;0;65;8;90;Alta;65;No;8;No;15;Bajo
91;Cicer arietinum;EVA's (MADR) List;Leguminosas;Leguminous crops;NA;Distant;20;NotEvaluated;0;39.71;33.94;30;Baja;39.71;No;33.94;No;26.19;Bajo
92;Citrus amblycarpa;BGV List;Frutales;Fruits and nuts;Cítricos;Distant;20;NotEvaluated;0;36.38;8;90;Alta;36.38;No;33.92;PCG;27.63;Bajo
94;Citrus aurantiifolia;BGV List;Frutales;Fruits and nuts;Cítricos;Distant;20;MinorConcern;35;58.81;8;90;Alta;58.81;No;33.92;PCG;27.37;Bajo
95;Citrus aurantium;BGV List;Frutales;Fruits and nuts;Cítricos;Distant;20;MinorConcern;35;36.38;8;90;Alta;36.38;No;33.92;PCG;27.63;Bajo
96;Phoenix dactilyfera;EVA's (MADR) List;Frutales;Sugar crops;NA;Distant;20;NotEvaluated;0;30;33.92;90;Alta;30;No;33.92;No;24.34;Bajo
97;Citrus clementina;BGV List;Frutales;Fruits and nuts;Cítricos;Distant;20;NotEvaluated;0;36.38;8;90;Alta;36.38;No;33.92;PCG;27.63;Bajo
98;Matricaria recutita;EVA's (MADR) List;Plantas aromaticas condimentarias y medicinales;Beverage and spice crops;NA;Distant;20;MinorConcern;35;30.22;8;90;Alta;30.22;No;8;No;17.06;Bajo
100;Amaranthus caudatus;EVA's (MADR) List;Plantas aromaticas condimentarias y medicinales;Beverage and spice crops;NA;Local;70;NotEvaluated;0;30;57.5;90;Alta;30;No;57.5;No;69.12;Medio
101;Citrus excelsa;BGV List;Frutales;Fruits and nuts;Cítricos;Distant;20;NotEvaluated;0;36.38;8;90;Alta;36.38;No;33.92;PCG;27.63;Bajo
102;Citrus grandis;BGV List;Frutales;Fruits and nuts;Cítricos;Distant;20;NotEvaluated;0;36.38;8;90;Alta;36.38;No;33.92;PCG;27.63;Bajo
