"id","nombre_cientifico","categoria","grupo","clasificacion_FAO","cultivo","origen_et","origen","vulnerabilidad_et","vulnerabilidad","imp_economica_org","seg_alimentaria_org","incertidumbre","incertidumbre_et","imp_economica","pool_imp_economica","seg_alimentaria","pool_imp_sa"
348,"Solanum jamesii","BGV List",NA,"Root/tuber crops with high starch or inulin conten","Papa","Close",45,"MinorConcern",35,"8","8",90,"Alta","70.27","GP","70","GP"
349,"Solanum juglandifolium","BGV List",NA,"Root/tuber crops with high starch or inulin conten","Papa","Local",70,"NotEvaluated",0,"8","8",90,"Alta","70.27","GP","70","GP"
350,"Solanum juzepczukii","BGV List",NA,"Root/tuber crops with high starch or inulin conten","Papa","Local",70,"NotEvaluated",0,"8","8",90,"Alta","70.27","GP","70","GP"
351,"Solanum lobianum*Solanum lobbianum","BGV List",NA,"Root/tuber crops with high starch or inulin conten","Papa",NA,NA,"NotEvaluated",0,"8","8",90,"Alta","70.27","GP","70","GP"
352,"Solanum malinchense","BGV List",NA,"Root/tuber crops with high starch or inulin conten","Papa","Close",45,"NotEvaluated",0,"8","8",90,"Alta","70.27","GP","70","GP"
353,"Solanum mammosum","BGV List",NA,"Fruit and nuts","Lulo","Local",70,"MinorConcern",35,"8","8",90,"Alta","50","GP","50","GP"
354,"Solanum marginatum","BGV List",NA,"Fruit and nuts","Lulo","Distant",20,"NotEvaluated",0,"8","8",90,"Alta","50","GP","50","GP"
355,"Solanum maternum","BGV List",NA,"Fruits and nuts","Tomate de árbol","Local",70,"NotEvaluated",0,"8","8",90,"Alta","57.12","GP","57.5","GP"
356,"Solanum moscopanum","BGV List",NA,"Root/tuber crops with high starch or inulin conten","Papa","Local",70,"MinorConcern",35,"8","8",90,"Alta","70.27","GP","70","GP"
357,"Solanum obliquum","BGV List",NA,"Fruit and nuts","Tomate de árbol","Local",70,"MinorConcern",35,"8","8",90,"Alta","57.12","GP","57.5","GP"
358,"Solanum parodii*Solanum chacoense","BGV List",NA,"Root/tuber crops with high starch or inulin conten","Papa","Local",70,"NotEvaluated",0,"8","8",90,"Alta","70.27","GP","70","GP"
359,"Solanum pectinatum","BGV List",NA,"Fruit and nuts","Lulo","Close",45,"NotEvaluated",0,"8","8",90,"Alta","50","GP","50","GP"
360,"Solanum peruvianum","BGV List",NA,"Vegetables and melons","Tomate de mesa","Local",70,"NotEvaluated",0,"8","8",90,"Alta","70.53","GP","57.5","GP"
361,"Solanum pimpinellifolium","BGV List",NA,"Vegetables and melons","Tomate de mesa","Local",70,"NotEvaluated",0,"8","37.5",60,"Media","70.53","GP","37.5","No"
362,"Solanum pseudolulo","BGV List",NA,"Fruits and nuts","Lulo","Local",70,"NotEvaluated",0,"8","37.5",60,"Media","50","GP","37.5","No"
363,"Solanum saponaceum","BGV List",NA,"Fruit and nuts","Lulo","Local",70,"MinorConcern",35,"8","37.5",90,"Alta","50","GP","37.5","No"
365,"Solanum sibundoyense","BGV List",NA,"Fruit and nuts","Tomate de árbol","Local",70,"Threatened ",75,"8","8",90,"Alta","57.12","GP","57.5","GP"
366,"Solanum stenotomun*Solanum tuberosum YA ESTA ARRIBA","BGV List",NA,"Root/tuber crops with high starch or inulin conten","Papa",NA,NA,"NotEvaluated",0,"8","8",90,"Alta","70.27","GP","70","GP"
367,"Solanum tuquerrense*Solanum andreanum","BGV List",NA,"Root/tuber crops with high starch or inulin conten","Papa","Local",70,"NotEvaluated",0,"8","8",90,"Alta","70.27","GP","70","GP"
368,"Solanum unilobum","BGV List",NA,"Fruits and nuts","Tomate de árbol","Local",70,"NotEvaluated",0,"8","8",90,"Alta","57.12","GP","57.5","GP"
369,"Solanum vestissimum","BGV List",NA,"Fruits and nuts","Lulo","Local",70,"NotEvaluated",0,"8","8",90,"Alta","50","GP","50","GP"
370,"Stylosanthes guianensis","BGV List",NA,"Other crops","Pastos y Forrajes","Close",45,"MinorConcern",35,"8","8",90,"Alta","8","No","8","No"
371,"Vigna unguiculata","BGV List",NA,"Leguminous crops","Caupi","Distant",20,"MinorConcern",35,"8","8",90,"Alta","8","No","8","No"
373,"Chrysobalanus icaco","Ministerio de cultura","Hortalizas","Vegetables and melons",NA,"Close",45,"MinorConcern",35,"8","30",90,"Alta","8","No","30","No"
374,"Oxalis tuberosa","Ministerio de cultura","Tuberculos","Root/tuber crops with high starch or inulin conten",NA,"Local",70,"NotEvaluated",0,"8","30",90,"Alta","8","No","30","No"
375,"Poraqueiba sericea","Ministerio de cultura","Hortalizas","Vegetables and melons",NA,"Local",70,"MinorConcern",35,"8","30",90,"Alta","8","No","30","No"
376,"Tropaeolum tuberosum","Ministerio de cultura","Fibras","Other crops",NA,"Local",70,"NotEvaluated",0,"8","30",90,"Alta","8","No","30","No"
377,"Vasconcellea pubescens","Ministerio de cultura","Frutales","Fruits and nuts",NA,"Local",70,"NotEvaluated",0,"8","30",90,"Alta","8","No","30","No"
378,"Lens culinaris","PNSAN","Plantas aromaticas condimentarias y medicinales","Vegetables and melons",NA,"Distant",20,"NotEvaluated",0,"8","8",90,"Alta","8","No","8","No"
379,"Daucus carota","PNSAN","Hortalizas","Vegetables and melons",NA,"Distant",20,"MinorConcern",35,"8","8",90,"Alta","8","No","8","No"
390,"Citrus macrophylla","BGV List","Frutales","Fruits and nuts","Cítricos","Distant",20,"NotEvaluated",0,"8","8",90,"Alta","36.38","PCG","33.92","PCG"
