"id","nombre_cientifico","categoria","grupo","clasificacion_FAO","cultivo","origen_et","origen","vulnerabilidad_et","vulnerabilidad","imp_economica_org","seg_alimentaria_org","incertidumbre","incertidumbre_et","imp_economica","pool_imp_economica","seg_alimentaria","pool_imp_sa"
266,"Capsicum baccatum","BGV List",NA,"Beverage and spice crops","Ají","Local",70,"MinorConcern",35,"8","8",90,"Alta","52.83","GP","30","GP"
267,"Capsicum chinense","BGV List",NA,"Beverage and spice crops","Ají","Close",45,"NotEvaluated",0,"8","8",90,"Alta","52.83","GP","30","GP"
268,"Capsicum praetermissum","BGV List",NA,"Beverage and spice crops","Ají","Local",70,"NotEvaluated",0,"8","8",90,"Alta","52.83","GP","30","GP"
269,"Capsicum pubescens","BGV List",NA,"Beverage and spice crops","Ají","Local",70,"NotEvaluated",0,"8","8",90,"Alta","52.83","GP","30","GP"
270,"Citrus japonica","BGV List",NA,"Fruits and nuts","Cítricos","Distant",20,"Threatened",75,"8","8",90,"Alta","36.38","PCG","33.92","PCG"
271,"Crotalaria anagyroides","BGV List",NA,"Other crops","Pastos y Forrajes","Close",45,"MinorConcern",35,"8","57.5",90,"Alta","8","No","57.5","No"
272,"Crotalaria juncea","BGV List",NA,"Other crops","Pastos y Forrajes","Distant",20,"NotEvaluated",0,"8","57.5",90,"Alta","8","No","57.5","No"
273,"Crotalaria lanceolata","BGV List",NA,"Other crops","Pastos y Forrajes","Distant",20,"MinorConcern",35,"8","8",90,"Alta","8","No","8","No"
274,"Crotalaria ochroleuca","BGV List",NA,"Other crops","Pastos y Forrajes","Distant",20,"MinorConcern",35,"8","8",90,"Alta","8","No","8","No"
275,"Crotalaria retusa","BGV List",NA,"Other crops","Pastos y Forrajes","Distant",20,"MinorConcern",35,"8","8",90,"Alta","8","No","8","No"
276,"Crotalaria spectabilis","BGV List",NA,"Other crops","Pastos y Forrajes","Distant",20,"MinorConcern",35,"8","8",90,"Alta","8","No","8","No"
277,"Crotalaria striata","BGV List",NA,"Other crops","Pastos y Forrajes","Distant",20,"NotEvaluated",0,"8","8",90,"Alta","8","No","8","No"
